economy,F_YR2000,F_YR2001,F_YR2002,F_YR2003,F_YR2004,F_YR2005,F_YR2006,F_YR2007,F_YR2008,F_YR2009,F_YR2010,F_YR2011,F_YR2012,F_YR2013,F_YR2014,F_YR2015,F_YR2016,F_YR2017,F_YR2018,F_YR2019,F_YR2020,F_YR2021
ARG,97.296,96.186,95.076,94.03,92.985,91.939,90.894,89.848,88.863,87.878,86.893,85.908,84.923,83.995,83.067,82.139,81.211,80.283,79.483,78.682,77.882,
BRA,125.46,121.864,118.269,115.955,113.64,111.325,109.011,106.696,105.214,103.733,102.251,100.77,99.288,97.893,96.498,95.103,93.708,92.313,91.421,90.296,89.171,
CHL,75.536,73.983,72.431,72.181,71.93,71.68,71.43,71.179,70.921,70.663,70.405,70.146,69.888,68.985,68.082,67.179,66.276,65.373,59.035,58.508,57.98,
ECU,115.08,113.234,111.388,108.771,106.154,103.537,100.92,98.303,96.592,94.881,93.17,91.459,89.748,88.508,87.269,86.029,84.789,83.55,88.072,86.933,85.794,
VEN,103.636,101.384,99.131,98.541,97.951,97.361,96.77,96.18,95.523,94.865,94.207,93.55,92.892,91.928,90.963,89.998,89.034,88.069,94.804,94.598,94.392,
