economy,F_YR2000,F_YR2001,F_YR2002,F_YR2003,F_YR2004,F_YR2005,F_YR2006,F_YR2007,F_YR2008,F_YR2009,F_YR2010,F_YR2011,F_YR2012,F_YR2013,F_YR2014,F_YR2015,F_YR2016,F_YR2017,F_YR2018,F_YR2019,F_YR2020,F_YR2021
ARG,18976071,19185008,19390957,19594321,19795649,19995559,20193900,20391134,20589210,20790604,20941910,21178884,21415097,21650186,21883730,22115261,22344847,22572521,22797803,23020216,23239321,23455139
BRA,88208705,89459431,90679052,91864663,93013715,94125016,95196581,96229936,97231896,98211956,99177368,100129355,101066961,101992473,102907992,103814243,104712864,105601737,106473081,107316359,108123626,108891925
CHL,7794185,7882066,7967282,8051012,8134816,8219838,8306863,8395791,8485911,8576060,8665530,8752531,8837489,8924483,9019145,9124556,9243814,9373183,9500750,9610261,9690540,9737022
ECU,6315964,6433427,6548517,6662346,6776510,6892161,7009987,7129752,7250590,7371185,7490761,7608327,7724581,7842413,7965751,8097063,8237882,8386318,8537161,8683170,8819233,8943298
VEN,12052838,12284824,12517096,12748443,12977216,13202089,13418808,13626270,13829691,14036614,14250186,14482251,14726158,14945203,15089558,15128613,15040542,14849444,14626489,14470601,14451011,14594639
