economy,M_YR2000,M_YR2001,M_YR2002,M_YR2003,M_YR2004,M_YR2005,M_YR2006,M_YR2007,M_YR2008,M_YR2009,M_YR2010,M_YR2011,M_YR2012,M_YR2013,M_YR2014,M_YR2015,M_YR2016,M_YR2017,M_YR2018,M_YR2019,M_YR2020,M_YR2021
ARG,17894725,18090636,18290786,18493545,18696321,18897365,19095976,19293169,19490949,19692182,19846543,20082606,20318174,20552749,20785770,21016705,21245521,21472290,21696699,21918496,22137442,22353608
BRA,86581634,87736620,88858471,89944581,90992764,92002092,92970772,93900509,94798466,95674549,96536269,97385186,98220331,99043431,99855752,100657516,101450192,102232088,102996239,103733160,104435783,105101516
CHL,7548165,7634046,7717131,7798637,7880156,7962875,8047644,8134410,8222344,8310124,8397001,8481053,8562870,8647028,8739824,8844800,8965258,9097252,9228416,9341774,9425669,9475340
ECU,6365159,6481233,6594948,6707332,6819880,6933678,7049392,7166802,7285150,7403227,7520353,7635558,7749518,7865060,7986081,8114959,8253234,8399038,8547198,8690487,8823827,8945176
VEN,12139611,12361647,12583311,12803181,13019378,13230356,13431382,13621331,13806136,13994396,14189756,14405622,14634669,14835843,14953415,14953214,14810707,14553036,14260628,14045228,13984932,14110308
