economy,M_YR2000,M_YR2001,M_YR2002,M_YR2003,M_YR2004,M_YR2005,M_YR2006,M_YR2007,M_YR2008,M_YR2009,M_YR2010,M_YR2011,M_YR2012,M_YR2013,M_YR2014,M_YR2015,M_YR2016,M_YR2017,M_YR2018,M_YR2019,M_YR2020,M_YR2021
ARG,63.59999847,59,59.09999847,64.30000305,66.23999786,67.68000031,68.79000092,69.59999847,69.19999695,68.16999817,68.95999908,69.79000092,69.27999878,68.86000061,67.76999664,,,65.58999634,65.18000031,64.86000061,59.24000168,65.52999878
BRA,,73.95999908,74.11000061,73.33999634,74.48999786,74.33000183,74.51000214,74.36000061,74.98000336,74.15000153,,73.44999695,71.48000336,71.48999786,71.19000244,69.76000214,67.15000153,66.05000305,66.25,66.87999725,62.00999832,64.66000366
CHL,67.76000214,66.91999817,66.44000244,66.66000366,65.95999908,66.33999634,67.52999878,67.80999756,67.83000183,65.38999939,66.95999908,68.34999847,68.08000183,68.05000305,67.29000092,67.40000153,66.94000244,66.77999878,66.05999756,65.36000061,59.25999832,62.16999817
ECU,78.43000031,81.26000214,77.55999756,77.51000214,79.01000214,79.83000183,81.16999817,79.98000336,79.05000305,76.02999878,75.30999756,74.98000336,75.26999664,74.90000153,75.86000061,77.63999939,77.51000214,78.19000244,76.97000122,75.80000305,68.47000122,75.41000366
VEN,,,71.56999969,,,71.31999969,73.44999695,73.76000214,74.16000366,73.5,72.73000336,72.68000031,72.19999695,,,,70.90000153,75.80999756,,,,
