economy,F_YR2000,F_YR2001,F_YR2002,F_YR2003,F_YR2004,F_YR2005,F_YR2006,F_YR2007,F_YR2008,F_YR2009,F_YR2010,F_YR2011,F_YR2012,F_YR2013,F_YR2014,F_YR2015,F_YR2016,F_YR2017,F_YR2018,F_YR2019,F_YR2020,F_YR2021
ARG,37.20000076,35.5,37.59999847,41.20000076,42.38999939,42.79000092,43.91999817,43.40000153,43.72999954,44.29999924,43.63999939,44.15000153,44.13000107,43.90000153,43.72000122,,,43.47000122,44.31999969,44.91999817,41.02000046,45.52000046
BRA,,46.95000076,48.29999924,48.06999969,49.40000153,50.04000092,50.49000168,50.43999863,50.81999969,50.45000076,,49.02999878,47.63000107,47.75,48.02999878,47.47999954,45.63000107,45.72000122,46.22999954,46.93000031,41.34000015,43.36999893
CHL,33.09000015,32.36999893,32.16999817,33.31000137,34.25999832,35.31999969,36.50999832,37.65000153,39,38.88000107,41.02000046,43.34999847,43.91999817,44.49000168,45.13000107,45,44.70999908,45.09999847,45.36999893,45.50999832,39.58000183,41.83000183
ECU,43.00999832,51.88000107,46.68000031,46.16999817,49.86000061,49.52999878,50.50999832,50.08000183,49.59000015,46.95999908,45.86000061,45.31000137,46.45999908,46.54999924,45.95999908,49.79000092,52.40000153,53.61999893,52.24000168,52.02999878,44.88000107,50.77999878
VEN,,,44.43000031,,,43.58000183,45.22000122,45.81999969,46.54000092,46.91999817,46.04999924,45.95999908,45.86999893,,,,45.15999985,50.50999832,,,,
