economy,M_YR2000,M_YR2001,M_YR2002,M_YR2003,M_YR2004,M_YR2005,M_YR2006,M_YR2007,M_YR2008,M_YR2009,M_YR2010,M_YR2011,M_YR2012,M_YR2013,M_YR2014,M_YR2015,M_YR2016,M_YR2017,M_YR2018,M_YR2019,M_YR2020,M_YR2021
ARG,181.355,179.206,177.056,175.041,173.026,171.011,168.996,166.981,165.094,163.206,161.318,159.43,157.542,155.775,154.008,152.24,150.473,148.705,147.086,145.466,143.846,
BRA,247.531,242.399,237.267,233.267,229.267,225.268,221.268,217.268,214.047,210.825,207.604,204.383,201.161,198.648,196.135,193.622,191.109,188.596,188.528,186.225,183.922,
CHL,142.235,139.752,137.269,135.134,133,130.866,128.732,126.598,124.727,122.857,120.986,119.116,117.245,115.015,112.784,110.554,108.323,106.092,107.669,105.835,104.002,
ECU,200.974,199.778,198.583,195.346,192.109,188.871,185.634,182.397,179.733,177.069,174.406,171.742,169.078,166.646,164.215,161.783,159.351,156.919,161.14,159.052,156.964,
VEN,217.494,216.826,216.157,214.224,212.291,210.357,208.424,206.491,205.065,203.64,202.214,200.788,199.363,197.279,195.194,193.11,191.026,188.942,206.678,206.299,205.921,
